Median Household Income,Per Capita Income,Gini Index of Income Inequality,Total Population,Median Age,Median Home Value,State Code (FIPS),Year,Unemployment Rate,Percent Foreigners,State Name,State Code (USPS)
69183.0,38952.0,0.4658,10037261.0,40.5,236100.0,26,2023,0.0224500488728947,0.073481400951913,Michigan,MI
85086.0,46530.0,0.4541,5737915.0,39.1,328600.0,27,2023,0.0166706896146073,0.0863296162456223,Minnesota,MN
54203.0,30807.0,0.4843,2939690.0,39.3,169800.0,28,2023,0.0219876925798298,0.0255690225840139,Mississippi,MS
68545.0,38699.0,0.4608,6196156.0,39.3,233600.0,29,2023,0.0175742831523286,0.0479058306472593,Missouri,MO
70804.0,40197.0,0.4601,1132812.0,40.6,392300.0,30,2023,0.0138663785341256,0.0217361751111393,Montana,MT
74590.0,41436.0,0.4634,1978379.0,37.4,245200.0,31,2023,0.0143430556025918,0.0770029402859613,Nebraska,NE
76364.0,40463.0,0.4632,3194176.0,39.4,441100.0,32,2023,0.0232974012703119,0.1924687305896732,Nevada,NV
96838.0,51587.0,0.4446,1402054.0,43.4,415400.0,33,2023,0.0143724849399523,0.0676671511938912,New Hampshire,NH
99781.0,52583.0,0.4794,9290841.0,40.4,461000.0,34,2023,0.0255786316868408,0.2422203759595068,New Jersey,NJ
62268.0,35510.0,0.4771,2114371.0,39.9,256300.0,35,2023,0.0225911157502633,0.1020147362974615,New Mexico,NM
82095.0,48847.0,0.5157,19571216.0,40.2,420200.0,36,2023,0.0258866388271428,0.2308490182725488,New York,NY
70804.0,40414.0,0.4732,10835491.0,39.4,308600.0,37,2023,0.0202814990109816,0.0918395853035178,North Carolina,NC
76525.0,42814.0,0.4451,783926.0,36.3,246700.0,38,2023,0.0154210984200039,0.03966700938609,North Dakota,ND
67769.0,39395.0,0.4695,11785935.0,39.9,220200.0,39,2023,0.0206516496145617,0.0527631452235227,Ohio,OH
62138.0,34206.0,0.4737,4053824.0,37.1,208600.0,40,2023,0.0219084498981702,0.0611343758387142,Oklahoma,OK
80160.0,44623.0,0.4636,4233358.0,40.7,484800.0,41,2023,0.0213393244795266,0.096068416609226,Oregon,OR
73824.0,42605.0,0.4774,12961683.0,41.1,259900.0,42,2023,0.0218537206935241,0.079566827857154,Pennsylvania,PA
84972.0,46525.0,0.4661,1095962.0,40.8,411800.0,44,2023,0.0255592803400117,0.1470817418852113,Rhode Island,RI
67804.0,38097.0,0.4715,5373555.0,40.5,272900.0,45,2023,0.0209888984108285,0.0588880173367537,South Carolina,SC
71810.0,40263.0,0.462,919318.0,38.5,268200.0,46,2023,0.0138602746818837,0.0434485129193597,South Dakota,SD
67631.0,38538.0,0.476,7126489.0,39.1,307300.0,47,2023,0.0199370264936913,0.0606217170895794,Tennessee,TN
75780.0,39775.0,0.479,30503301.0,35.9,296900.0,48,2023,0.0224911395655178,0.1788426767319379,Texas,TX
93421.0,40096.0,0.4225,3417734.0,32.3,517700.0,49,2023,0.0177453833446371,0.088884623554671,Utah,UT
81211.0,46029.0,0.4549,647464.0,43.7,332000.0,50,2023,0.0143173983418383,0.0448627259585088,Vermont,VT
89931.0,48689.0,0.4723,8715698.0,39.3,382900.0,51,2023,0.0188890207072342,0.1334931522409335,Virginia,VA
94605.0,52011.0,0.4703,7812880.0,38.6,576000.0,53,2023,0.0233440165470351,0.1553758665178525,Washington,WA
55948.0,32766.0,0.4679,1770071.0,42.8,163700.0,54,2023,0.0202551197098873,0.018262544270823,West Virginia,WV
74631.0,41785.0,0.4479,5910955.0,40.5,272500.0,55,2023,0.0147114975498883,0.0520895523650577,Wisconsin,WI
72415.0,39966.0,0.4455,584057.0,39.3,298700.0,56,2023,0.0163032032832411,0.0364313757047685,Wyoming,WY
