Detailed Statistics Departures  
Origin Airport: Newark, NJ: Newark Liberty International (EWR)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2017, 2018, 2019, 2021, 2022, 2023 and 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Actual departure time
"F9","02/01/2022","1259","N363FR","MCO","05:47"
"F9","02/01/2022","1261","N367FR","MCO","12:56"
"F9","02/01/2022","1531","N375FR","ATL","13:03"
"F9","02/02/2022","1259","N305FR","MCO","05:47"
"F9","02/02/2022","1261","N210FR","MCO","13:00"
"F9","02/02/2022","1531","N362FR","ATL","13:20"
"F9","02/03/2022","1259","N206FR","MCO","12:45"
"F9","02/03/2022","1261","N229FR","MCO","13:04"
"F9","02/03/2022","1531","N207FR","ATL","13:37"
"F9","02/03/2022","2959","N386FR","MIA","12:18"
"F9","02/04/2021","2961","N331FR","MIA","19:07"
"F9","02/04/2022","1259","N303FR","MCO","05:50"
"F9","02/04/2022","1261","N719FR","MCO","13:42"
"F9","02/04/2022","1531","N350FR","ATL","13:13"
"F9","02/04/2022","2959","N360FR","MIA","12:05"
"F9","02/05/2021","2959","N375FR","MIA","13:13"
"F9","02/05/2021","2961","N331FR","MIA","18:53"
"F9","02/05/2022","1259","N313FR","MCO","05:59"
"F9","02/05/2022","1261","N353FR","MCO","13:09"
"F9","02/05/2022","1531","N342FR","ATL","13:14"
"F9","02/06/2021","1259","N233FR","MCO","12:13"
"F9","02/06/2022","1259","N351FR","MCO","07:13"
"F9","02/06/2022","1261","N717FR","MCO","13:35"
"F9","02/06/2022","1531","N385FR","ATL","13:04"
"F9","02/06/2022","2959","N341FR","MIA","12:05"
"F9","02/07/2021","2959","N375FR","MIA","13:09"
"F9","02/07/2021","2961","N376FR","MIA","18:55"
"F9","02/07/2022","1259","","MCO","00:00"
"F9","02/07/2022","1261","","MCO","00:00"
"F9","02/07/2022","1531","","ATL","00:00"
"F9","02/07/2022","2959","","MIA","00:00"
"F9","02/08/2021","1259","N351FR","MCO","13:52"
"F9","02/08/2021","2959","N339FR","MIA","13:16"
"F9","02/08/2022","1259","N363FR","MCO","07:37"
"F9","02/08/2022","1261","N326FR","MCO","13:41"
"F9","02/08/2022","1531","N358FR","ATL","13:09"
"F9","02/09/2022","1259","N343FR","MCO","05:49"
"F9","02/09/2022","1261","N304FR","MCO","13:06"
"F9","02/09/2022","1531","N342FR","ATL","13:09"
"F9","02/10/2022","1259","N331FR","MCO","06:00"
"F9","02/10/2022","1261","N359FR","MCO","13:21"
"F9","02/10/2022","1531","N330FR","ATL","13:45"
"F9","02/10/2022","2959","N363FR","MIA","12:05"
"F9","02/11/2021","2959","N702FR","MIA","18:57"
"F9","02/11/2021","2961","N311FR","MIA","13:24"
"F9","02/11/2022","1259","N365FR","MCO","05:52"
"F9","02/11/2022","1261","N709FR","MCO","13:15"
"F9","02/11/2022","1531","N715FR","ATL","17:49"
"F9","02/11/2022","2959","N350FR","MIA","12:03"
"F9","02/12/2021","0123","N310FR","SJU","10:44"
"F9","02/12/2021","1259","N342FR","MCO","06:57"
"F9","02/12/2021","2961","N330FR","MIA","13:23"
"F9","02/12/2022","1259","N329FR","MCO","05:52"
"F9","02/12/2022","1261","N344FR","MCO","13:11"
"F9","02/12/2022","1531","N334FR","ATL","13:12"
"F9","02/13/2021","0123","N352FR","SJU","09:52"
"F9","02/13/2021","1259","N339FR","MCO","06:56"
"F9","02/13/2021","2961","N322FR","MIA","13:19"
"F9","02/13/2022","1259","N378FR","MCO","05:54"
"F9","02/13/2022","1261","N716FR","MCO","13:45"
"F9","02/13/2022","1531","N346FR","ATL","14:52"
"F9","02/13/2022","2959","N338FR","MIA","12:11"
"F9","02/14/2021","0123","N358FR","SJU","10:08"
"F9","02/14/2021","1259","N349FR","MCO","06:51"
"F9","02/14/2021","2959","N330FR","MIA","18:55"
"F9","02/14/2021","2961","N301FR","MIA","13:22"
"F9","02/14/2022","1259","N373FR","MCO","05:59"
"F9","02/14/2022","1261","N338FR","MCO","13:34"
"F9","02/14/2022","1531","N361FR","ATL","13:09"
"F9","02/14/2022","2959","N334FR","MIA","12:13"
"F9","02/15/2021","0123","N372FR","SJU","09:59"
"F9","02/15/2021","1259","N353FR","MCO","06:52"
"F9","02/15/2021","2961","N328FR","MIA","13:27"
"F9","02/15/2022","1259","N381FR","MCO","06:00"
"F9","02/15/2022","1261","N337FR","MCO","13:18"
"F9","02/15/2022","1531","N374FR","ATL","13:11"
"F9","02/16/2021","0123","N371FR","SJU","09:52"
"F9","02/16/2021","1259","N349FR","MCO","06:51"
"F9","02/16/2021","2961","N368FR","MIA","13:29"
"F9","02/16/2022","1259","N374FR","MCO","06:28"
"F9","02/16/2022","1261","N718FR","MCO","13:21"
"F9","02/16/2022","1531","N362FR","ATL","13:12"
"F9","02/17/2021","0123","N351FR","SJU","09:50"
"F9","02/17/2021","1259","N322FR","MCO","06:54"
"F9","02/17/2021","2961","N232FR","MIA","13:40"
"F9","02/18/2021","0123","N361FR","SJU","09:54"
"F9","02/18/2021","1259","N349FR","MCO","06:58"
"F9","02/18/2021","2961","N353FR","MIA","13:29"
"F9","02/19/2021","0123","N337FR","SJU","10:06"
"F9","02/19/2021","1259","N230FR","MCO","06:55"
"F9","02/19/2021","2961","N356FR","MIA","13:21"
"F9","02/20/2021","0123","N358FR","SJU","09:59"
"F9","02/20/2021","1259","N230FR","MCO","06:59"
"F9","02/20/2021","2961","N317FR","MIA","13:18"
"F9","02/21/2021","0123","N371FR","SJU","09:49"
"F9","02/21/2021","1259","N360FR","MCO","06:51"
"F9","02/21/2021","2961","N313FR","MIA","13:26"
"F9","02/22/2021","0123","N324FR","SJU","10:04"
"F9","02/22/2021","1259","N322FR","MCO","06:49"
"F9","02/22/2021","2961","N311FR","MIA","13:34"
"F9","02/23/2021","0123","N339FR","SJU","09:46"
"F9","02/23/2021","1259","N370FR","MCO","06:42"
"F9","02/23/2021","2961","N324FR","MIA","13:23"
"F9","02/24/2021","0123","N376FR","SJU","09:54"
"F9","02/24/2021","1259","N368FR","MCO","06:56"
"F9","02/24/2021","2961","N328FR","MIA","13:21"
"F9","02/25/2021","0123","N376FR","SJU","10:00"
"F9","02/25/2021","1259","N338FR","MCO","06:58"
"F9","02/25/2021","2961","N359FR","MIA","13:29"
"F9","02/26/2021","0123","N348FR","SJU","09:49"
"F9","02/26/2021","1259","N339FR","MCO","06:50"
"F9","02/26/2021","2961","N366FR","MIA","13:26"
"F9","02/27/2021","0123","N316FR","SJU","09:50"
"F9","02/27/2021","1259","N220FR","MCO","07:06"
"F9","02/27/2021","2961","N372FR","MIA","13:24"
"F9","02/28/2021","0123","N339FR","SJU","09:45"
"F9","02/28/2021","1259","N350FR","MCO","06:50"
"F9","02/28/2021","2961","N358FR","MIA","13:22"
"F9","03/01/2021","0123","N368FR","SJU","09:51"
"F9","03/01/2021","1259","N364FR","MCO","06:50"
"F9","03/01/2021","2959","N339FR","MIA","13:28"
"F9","03/02/2021","0123","N371FR","SJU","09:48"
"F9","03/02/2021","1259","N318FR","MCO","06:53"
"F9","03/02/2021","2959","N328FR","MIA","13:15"
"F9","03/03/2021","0123","N324FR","SJU","09:52"
"F9","03/03/2021","1259","N308FR","MCO","06:47"
"F9","03/03/2021","2959","N235FR","MIA","13:19"
"F9","03/04/2021","0123","N236FR","SJU","09:49"
"F9","03/04/2021","1259","N337FR","MCO","07:17"
"F9","03/04/2021","2959","N309FR","MIA","13:25"
"F9","03/05/2021","0123","N343FR","SJU","09:56"
"F9","03/05/2021","1259","N310FR","MCO","06:58"
"F9","03/05/2021","2959","N324FR","MIA","13:25"
"F9","03/06/2021","0123","N322FR","SJU","09:54"
"F9","03/06/2021","1259","N210FR","MCO","06:50"
"F9","03/06/2021","2959","N364FR","MIA","13:25"
"F9","03/07/2021","0123","N371FR","SJU","09:22"
"F9","03/07/2021","1259","N351FR","MCO","06:47"
"F9","03/07/2021","1261","N721FR","MCO","12:17"
"F9","03/07/2021","2183","N343FR","LAS","21:48"
"F9","03/07/2021","2959","N324FR","MIA","12:25"
"F9","03/08/2021","0123","N362FR","SJU","09:21"
"F9","03/08/2021","1259","N318FR","MCO","06:56"
"F9","03/08/2021","1261","N723FR","MCO","12:16"
"F9","03/08/2021","2183","N350FR","LAS","22:37"
"F9","03/08/2021","2555","N344FR","TPA","07:47"
"F9","03/08/2021","2961","N341FR","MIA","19:44"
"F9","03/09/2021","0123","N326FR","SJU","09:23"
"F9","03/09/2021","1259","N358FR","MCO","06:50"
"F9","03/09/2021","1261","N719FR","MCO","12:15"
"F9","03/09/2021","2183","N311FR","LAS","21:55"
"F9","03/09/2021","2555","N329FR","TPA","08:09"
"F9","03/09/2021","2959","N307FR","MIA","11:18"
"F9","03/10/2021","0123","N375FR","SJU","09:23"
"F9","03/10/2021","1259","N350FR","MCO","06:52"
"F9","03/10/2021","1261","N716FR","MCO","12:15"
"F9","03/10/2021","2183","N368FR","LAS","21:58"
"F9","03/10/2021","2555","N367FR","TPA","07:43"
"F9","03/10/2021","2961","N304FR","MIA","19:45"
"F9","03/11/2021","0123","N366FR","SJU","09:22"
"F9","03/11/2021","1259","N232FR","MCO","06:58"
"F9","03/11/2021","1261","N705FR","MCO","12:12"
"F9","03/11/2021","2183","N230FR","LAS","21:53"
"F9","03/11/2021","2555","N343FR","TPA","07:44"
"F9","03/11/2021","2959","N354FR","MIA","11:21"
"F9","03/12/2021","0123","N361FR","SJU","09:28"
"F9","03/12/2021","1259","N322FR","MCO","06:53"
"F9","03/12/2021","1261","N720FR","MCO","20:06"
"F9","03/12/2021","2183","N316FR","LAS","22:22"
"F9","03/12/2021","2555","N369FR","TPA","07:45"
"F9","03/12/2021","2959","N354FR","MIA","19:56"
"F9","03/13/2021","0123","N347FR","SJU","09:25"
"F9","03/13/2021","1259","N307FR","MCO","06:50"
"F9","03/13/2021","1261","N716FR","MCO","12:20"
"F9","03/13/2021","2183","N301FR","LAS","22:14"
"F9","03/13/2021","2555","N336FR","TPA","07:54"
"F9","03/13/2021","2959","N335FR","MIA","21:35"
"F9","03/14/2021","0123","N308FR","SJU","09:34"
"F9","03/14/2021","1259","N238FR","MCO","06:52"
"F9","03/14/2021","1261","N719FR","MCO","12:15"
"F9","03/14/2021","2183","N368FR","LAS","22:45"
"F9","03/14/2021","2555","N344FR","TPA","07:51"
"F9","03/14/2021","2961","N342FR","MIA","11:30"
"F9","03/15/2021","0123","N331FR","SJU","10:26"
"F9","03/15/2021","1259","","MCO","00:00"
"F9","03/15/2021","1261","N701FR","MCO","12:21"
"F9","03/15/2021","2183","N366FR","LAS","21:55"
"F9","03/15/2021","2555","N364FR","TPA","08:08"
"F9","03/15/2021","2959","N330FR","MIA","19:55"
"F9","03/16/2021","0123","N336FR","SJU","09:42"
"F9","03/16/2021","1259","N311FR","MCO","06:47"
"F9","03/16/2021","1261","N710FR","MCO","12:13"
"F9","03/16/2021","2183","N369FR","LAS","22:06"
"F9","03/16/2021","2555","N235FR","TPA","07:46"
"F9","03/16/2021","2959","N375FR","MIA","11:16"
"F9","03/17/2021","0123","N358FR","SJU","09:34"
"F9","03/17/2021","1259","N329FR","MCO","06:53"
"F9","03/17/2021","1261","N714FR","MCO","12:15"
"F9","03/17/2021","2183","N351FR","LAS","21:48"
"F9","03/17/2021","2555","N376FR","TPA","07:48"
"F9","03/17/2021","2959","N232FR","MIA","19:49"
"F9","03/18/2021","0123","N332FR","SJU","09:32"
"F9","03/18/2021","1259","N227FR","MCO","06:53"
"F9","03/18/2021","1261","N715FR","MCO","12:20"
"F9","03/18/2021","2183","N233FR","LAS","21:55"
"F9","03/18/2021","2555","N353FR","TPA","07:49"
"F9","03/18/2021","2959","N324FR","MIA","11:19"
"F9","03/19/2021","0123","N310FR","SJU","09:27"
"F9","03/19/2021","1259","N346FR","MCO","06:55"
"F9","03/19/2021","1261","N708FR","MCO","12:14"
"F9","03/19/2021","2183","N316FR","LAS","21:57"
"F9","03/19/2021","2555","N349FR","TPA","07:50"
"F9","03/19/2021","2959","N372FR","MIA","20:21"
"F9","03/20/2021","0123","N323FR","SJU","09:38"
"F9","03/20/2021","1259","N348FR","MCO","06:51"
"F9","03/20/2021","1261","N705FR","MCO","12:59"
"F9","03/20/2021","2183","N318FR","LAS","21:59"
"F9","03/20/2021","2555","N227FR","TPA","07:46"
"F9","03/20/2021","2959","N341FR","MIA","19:50"
"F9","03/21/2021","0123","N303FR","SJU","09:23"
"F9","03/21/2021","1259","N332FR","MCO","06:54"
"F9","03/21/2021","1261","N718FR","MCO","12:18"
"F9","03/21/2021","2183","N329FR","LAS","21:59"
"F9","03/21/2021","2555","N362FR","TPA","08:01"
"F9","03/21/2021","2959","N324FR","MIA","11:19"
"F9","03/22/2021","0123","N376FR","SJU","09:18"
"F9","03/22/2021","1259","N363FR","MCO","06:48"
"F9","03/22/2021","1261","N714FR","MCO","12:11"
"F9","03/22/2021","2183","N316FR","LAS","21:52"
"F9","03/22/2021","2555","N303FR","TPA","07:45"
"F9","03/22/2021","2959","N324FR","MIA","19:53"
"F9","03/23/2021","0123","N328FR","SJU","09:19"
"F9","03/23/2021","1259","N375FR","MCO","06:54"
"F9","03/23/2021","1261","N706FR","MCO","12:43"
