Detailed Statistics Departures  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2017, 2018, 2019, 2021, 2022, 2023 and 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Actual departure time
"F9","03/03/2019","1087","N339FR","LAS","10:15"
"F9","03/03/2019","1841","N943FR","AUS","11:52"
"F9","03/04/2017","1747","N952FR","MCO","17:38"
"F9","03/04/2018","1149","N221FR","LAS","22:26"
"F9","03/04/2018","1623","N317FR","MCO","12:33"
"F9","03/04/2018","1923","N221FR","AUS","06:11"
"F9","03/04/2021","1087","N364FR","MCO","08:57"
"F9","03/05/2017","1747","N910FR","MCO","20:10"
"F9","03/05/2018","1149","N316FR","LAS","22:33"
"F9","03/05/2018","1517","N316FR","SAT","05:55"
"F9","03/05/2018","1623","N203FR","MCO","12:46"
"F9","03/05/2019","1086","N317FR","MCO","16:41"
"F9","03/05/2019","1087","N205FR","LAS","10:07"
"F9","03/05/2019","1841","N938FR","AUS","11:48"
"F9","03/06/2017","1747","N941FR","MCO","17:34"
"F9","03/06/2018","1149","N220FR","LAS","23:34"
"F9","03/06/2018","1623","N213FR","MCO","12:49"
"F9","03/06/2018","1923","N322FR","AUS","05:54"
"F9","03/06/2019","1841","N941FR","AUS","11:49"
"F9","03/07/2017","1747","N951FR","MCO","18:42"
"F9","03/07/2018","1149","N211FR","LAS","22:25"
"F9","03/07/2018","1517","N211FR","SAT","05:59"
"F9","03/07/2018","1623","N322FR","MCO","12:28"
"F9","03/07/2019","1086","N331FR","MCO","16:41"
"F9","03/07/2019","1087","N335FR","LAS","10:12"
"F9","03/07/2019","1841","N941FR","AUS","11:49"
"F9","03/07/2021","1087","N305FR","MCO","09:21"
"F9","03/07/2024","1476","N717FR","BWI","13:39"
"F9","03/08/2017","1747","N953FR","MCO","17:30"
"F9","03/08/2018","1149","N205FR","LAS","22:17"
"F9","03/08/2018","1623","N323FR","MCO","12:32"
"F9","03/08/2018","1923","N205FR","AUS","06:16"
