Objectid,Year,Airport Code,Enplanements,Passengers,Departures,Arrivals,Freight,Mail,Airport Name,City,State Code (USPS),State Name,State Code (FIPS)
255,2023,CSG,65651,66527,1550,1530.0,290949,0,Columbus Metropolitan, Columbus,GA,Georgia,13.0
258,2023,ITH,60775,60850,1398,1380.0,20070,0,Tompkins County, Ithaca,NY,New York,36.0
259,2023,OTZ,60124,77110,10332,10341.0,4834833,10348778,Ralph Wien Memorial, Kotzebue,AK,Alaska,2.0
271,2023,GUC,49490,49510,972,968.0,0,0,Gunnison County, Gunnison,CO,Colorado,8.0
272,2023,ERI,47160,47160,1054,1300.0,999,0,Erie International, Erie,PA,Pennsylvania,42.0
277,2023,LSE,42635,43170,1014,1011.0,243,0,La Cross Municipal, La Crosse,WI,Wisconsin,55.0
282,2023,BRW,41579,41642,3789,3893.0,1438628,2820635,Wiley Post-Will Rogers Memorial, Barrow,AK,Alaska,2.0
283,2023,AKN,37892,40327,5589,5581.0,8217806,816633,King Salmon, King Salmon,AK,Alaska,2.0
286,2023,BGM,36622,36622,737,738.0,0,0,Binghamton Regional, Binghamton,NY,New York,36.0
292,2023,DLG,34471,35084,6001,6028.0,1930923,3173328,Dillingham, Dillingham,AK,Alaska,2.0
305,2023,SUX,27086,27155,742,715.0,0,0,Sioux Gateway, Sioux City,IA,Iowa,19.0
313,2023,PSG,24921,55832,1614,1616.0,1399125,101387,Petersburg James A. Johnson, Petersburg,AK,Alaska,2.0
328,2023,TWF,19852,21891,852,1174.0,515776,0,Joslin Field-Magic Valley Regional, Twin Falls,ID,Idaho,16.0
336,2023,DUT,19201,19218,2559,2560.0,575676,313968,Dutch Harbor, Dutch Harbor,AK,Alaska,2.0
338,2023,CDV,18244,34878,1100,1100.0,1294615,92803,Cordova-Mile 13, Cordova,AK,Alaska,2.0
360,2023,WRG,14323,60100,1257,1257.0,874675,51284,Wrangell, Wrangell,AK,Alaska,2.0
373,2023,ALO,12814,13099,635,638.0,0,0,Waterloo Municipal, Waterloo,IA,Iowa,19.0
376,2023,YAK,12105,27532,1043,1054.0,1527826,8411,Yakutat, Yakutat,AK,Alaska,2.0
399,2023,GST,9580,9596,1231,1233.0,20897,22114,Gustavus, Gustavus,AK,Alaska,2.0
404,2023,LWB,8290,8290,600,601.0,11098,0,Greenbrier Valley, Lewisburg,WV,West Virginia,54.0
452,2023,KSM,4911,6713,2974,2902.0,491190,1259844,St Mary's Airport, St. Mary's,AK,Alaska,2.0
457,2023,ANI,4624,5221,3098,3093.0,689939,2733993,Aniak, Aniak,AK,Alaska,2.0
