Date,Flight Count,Carrier Type,Year,Month,Week,Day,Day of Week
2017-11-16,490,Low-cost,2017,11,46,16,Thu
2017-11-17,486,Low-cost,2017,11,46,17,Fri
2017-11-18,467,Low-cost,2017,11,46,18,Sat
2017-11-19,484,Low-cost,2017,11,46,19,Sun
2017-11-20,494,Low-cost,2017,11,47,20,Mon
2017-11-21,485,Low-cost,2017,11,47,21,Tue
2017-11-22,490,Low-cost,2017,11,47,22,Wed
2017-11-23,368,Low-cost,2017,11,47,23,Thu
2017-11-24,453,Low-cost,2017,11,47,24,Fri
2017-11-25,474,Low-cost,2017,11,47,25,Sat
2017-11-26,493,Low-cost,2017,11,47,26,Sun
2017-11-27,494,Low-cost,2017,11,48,27,Mon
2017-11-28,470,Low-cost,2017,11,48,28,Tue
2017-11-29,461,Low-cost,2017,11,48,29,Wed
2017-11-30,484,Low-cost,2017,11,48,30,Thu
2017-12-01,484,Low-cost,2017,12,48,1,Fri
2017-12-02,391,Low-cost,2017,12,48,2,Sat
2017-12-03,455,Low-cost,2017,12,48,3,Sun
2017-12-04,485,Low-cost,2017,12,49,4,Mon
2017-12-05,461,Low-cost,2017,12,49,5,Tue
2017-12-06,460,Low-cost,2017,12,49,6,Wed
2017-12-07,485,Low-cost,2017,12,49,7,Thu
2017-12-08,485,Low-cost,2017,12,49,8,Fri
2017-12-09,389,Low-cost,2017,12,49,9,Sat
2017-12-10,453,Low-cost,2017,12,49,10,Sun
2017-12-11,482,Low-cost,2017,12,50,11,Mon
2017-12-12,461,Low-cost,2017,12,50,12,Tue
2017-12-13,458,Low-cost,2017,12,50,13,Wed
2017-12-14,485,Low-cost,2017,12,50,14,Thu
2017-12-15,491,Low-cost,2017,12,50,15,Fri
2017-12-16,388,Low-cost,2017,12,50,16,Sat
2017-12-17,453,Low-cost,2017,12,50,17,Sun
2017-12-18,491,Low-cost,2017,12,51,18,Mon
2017-12-19,469,Low-cost,2017,12,51,19,Tue
2017-12-20,466,Low-cost,2017,12,51,20,Wed
2017-12-21,491,Low-cost,2017,12,51,21,Thu
2017-12-22,496,Low-cost,2017,12,51,22,Fri
2017-12-23,472,Low-cost,2017,12,51,23,Sat
2017-12-24,408,Low-cost,2017,12,51,24,Sun
2017-12-25,442,Low-cost,2017,12,52,25,Mon
2017-12-26,493,Low-cost,2017,12,52,26,Tue
2017-12-27,486,Low-cost,2017,12,52,27,Wed
2017-12-28,489,Low-cost,2017,12,52,28,Thu
2017-12-29,491,Low-cost,2017,12,52,29,Fri
2017-12-30,474,Low-cost,2017,12,52,30,Sat
2017-12-31,429,Low-cost,2017,12,52,31,Sun
2018-01-01,497,Low-cost,2018,1,1,1,Mon
2018-01-02,492,Low-cost,2018,1,1,2,Tue
2018-01-03,497,Low-cost,2018,1,1,3,Wed
2018-01-04,497,Low-cost,2018,1,1,4,Thu
2018-01-05,495,Low-cost,2018,1,1,5,Fri
2018-01-06,395,Low-cost,2018,1,1,6,Sat
2018-01-07,485,Low-cost,2018,1,1,7,Sun
2018-01-08,483,Low-cost,2018,1,2,8,Mon
2018-01-09,485,Low-cost,2018,1,2,9,Tue
2018-01-10,485,Low-cost,2018,1,2,10,Wed
2018-01-11,489,Low-cost,2018,1,2,11,Thu
2018-01-12,489,Low-cost,2018,1,2,12,Fri
2018-01-13,400,Low-cost,2018,1,2,13,Sat
2018-01-14,450,Low-cost,2018,1,2,14,Sun
2018-01-15,488,Low-cost,2018,1,3,15,Mon
2018-01-16,485,Low-cost,2018,1,3,16,Tue
2018-01-17,485,Low-cost,2018,1,3,17,Wed
2018-01-18,486,Low-cost,2018,1,3,18,Thu
2018-01-19,486,Low-cost,2018,1,3,19,Fri
2018-01-20,396,Low-cost,2018,1,3,20,Sat
2018-01-21,446,Low-cost,2018,1,3,21,Sun
2018-01-22,484,Low-cost,2018,1,4,22,Mon
2018-01-23,484,Low-cost,2018,1,4,23,Tue
2018-01-24,484,Low-cost,2018,1,4,24,Wed
2018-01-25,486,Low-cost,2018,1,4,25,Thu
2018-01-26,485,Low-cost,2018,1,4,26,Fri
2018-01-27,396,Low-cost,2018,1,4,27,Sat
2018-01-28,446,Low-cost,2018,1,4,28,Sun
2018-01-29,484,Low-cost,2018,1,5,29,Mon
2018-01-30,484,Low-cost,2018,1,5,30,Tue
2018-01-31,484,Low-cost,2018,1,5,31,Wed
2018-02-01,486,Low-cost,2018,2,5,1,Thu
2018-02-02,488,Low-cost,2018,2,5,2,Fri
2018-02-03,395,Low-cost,2018,2,5,3,Sat
2018-02-04,396,Low-cost,2018,2,5,4,Sun
2018-02-05,487,Low-cost,2018,2,6,5,Mon
2018-02-06,481,Low-cost,2018,2,6,6,Tue
2018-02-07,481,Low-cost,2018,2,6,7,Wed
2018-02-08,483,Low-cost,2018,2,6,8,Thu
2018-02-09,487,Low-cost,2018,2,6,9,Fri
2018-02-10,396,Low-cost,2018,2,6,10,Sat
2018-02-11,447,Low-cost,2018,2,6,11,Sun
2018-02-12,486,Low-cost,2018,2,7,12,Mon
2018-02-13,481,Low-cost,2018,2,7,13,Tue
2018-02-14,402,Low-cost,2018,2,7,14,Wed
2018-02-15,492,Low-cost,2018,2,7,15,Thu
2018-02-16,488,Low-cost,2018,2,7,16,Fri
2018-02-17,399,Low-cost,2018,2,7,17,Sat
2018-02-18,452,Low-cost,2018,2,7,18,Sun
2018-02-19,487,Low-cost,2018,2,8,19,Mon
2018-02-20,492,Low-cost,2018,2,8,20,Tue
2018-02-21,488,Low-cost,2018,2,8,21,Wed
2018-02-22,492,Low-cost,2018,2,8,22,Thu
2018-02-23,488,Low-cost,2018,2,8,23,Fri
2018-02-24,399,Low-cost,2018,2,8,24,Sat
2018-02-25,451,Low-cost,2018,2,8,25,Sun
2018-02-26,486,Low-cost,2018,2,9,26,Mon
2018-02-27,492,Low-cost,2018,2,9,27,Tue
2018-02-28,487,Low-cost,2018,2,9,28,Wed
2018-03-01,492,Low-cost,2018,3,9,1,Thu
2018-03-02,488,Low-cost,2018,3,9,2,Fri
2018-03-03,399,Low-cost,2018,3,9,3,Sat
2018-03-04,451,Low-cost,2018,3,9,4,Sun
2018-03-05,488,Low-cost,2018,3,10,5,Mon
2018-03-06,488,Low-cost,2018,3,10,6,Tue
2018-03-07,486,Low-cost,2018,3,10,7,Wed
2018-03-08,494,Low-cost,2018,3,10,8,Thu
2018-03-09,496,Low-cost,2018,3,10,9,Fri
2018-03-10,421,Low-cost,2018,3,10,10,Sat
2018-03-11,484,Low-cost,2018,3,10,11,Sun
2018-03-12,495,Low-cost,2018,3,11,12,Mon
2018-03-13,497,Low-cost,2018,3,11,13,Tue
2018-03-14,495,Low-cost,2018,3,11,14,Wed
2018-03-15,499,Low-cost,2018,3,11,15,Thu
2018-03-16,497,Low-cost,2018,3,11,16,Fri
2018-03-17,424,Low-cost,2018,3,11,17,Sat
2018-03-18,486,Low-cost,2018,3,11,18,Sun
2018-03-19,496,Low-cost,2018,3,12,19,Mon
2018-03-20,497,Low-cost,2018,3,12,20,Tue
2018-03-21,495,Low-cost,2018,3,12,21,Wed
2018-03-22,501,Low-cost,2018,3,12,22,Thu
2018-03-23,499,Low-cost,2018,3,12,23,Fri
2018-03-24,424,Low-cost,2018,3,12,24,Sat
2018-03-25,486,Low-cost,2018,3,12,25,Sun
2018-03-26,496,Low-cost,2018,3,13,26,Mon
2018-03-27,498,Low-cost,2018,3,13,27,Tue
2018-03-28,494,Low-cost,2018,3,13,28,Wed
2018-03-29,499,Low-cost,2018,3,13,29,Thu
2018-03-30,499,Low-cost,2018,3,13,30,Fri
2018-03-31,424,Low-cost,2018,3,13,31,Sat
2018-04-01,485,Low-cost,2018,4,13,1,Sun
2018-04-02,497,Low-cost,2018,4,14,2,Mon
2018-04-03,498,Low-cost,2018,4,14,3,Tue
2018-04-04,496,Low-cost,2018,4,14,4,Wed
2018-04-05,499,Low-cost,2018,4,14,5,Thu
2018-04-06,499,Low-cost,2018,4,14,6,Fri
2018-04-07,423,Low-cost,2018,4,14,7,Sat
2018-04-08,489,Low-cost,2018,4,14,8,Sun
2018-04-09,500,Low-cost,2018,4,15,9,Mon
2018-04-10,503,Low-cost,2018,4,15,10,Tue
2018-04-11,499,Low-cost,2018,4,15,11,Wed
2018-04-12,522,Low-cost,2018,4,15,12,Thu
2018-04-13,520,Low-cost,2018,4,15,13,Fri
2018-04-14,432,Low-cost,2018,4,15,14,Sat
2018-04-15,505,Low-cost,2018,4,15,15,Sun
2018-04-16,519,Low-cost,2018,4,16,16,Mon
2018-04-17,490,Low-cost,2018,4,16,17,Tue
2018-04-18,492,Low-cost,2018,4,16,18,Wed
2018-04-19,523,Low-cost,2018,4,16,19,Thu
2018-04-20,520,Low-cost,2018,4,16,20,Fri
2018-04-21,432,Low-cost,2018,4,16,21,Sat
2018-04-22,505,Low-cost,2018,4,16,22,Sun
2018-04-23,518,Low-cost,2018,4,17,23,Mon
