Flight Count,Year,Month,Week,Day,Day of Week,Holiday
3074,2017,10,43,27,Fri,
2352,2017,10,43,28,Sat,
2828,2017,10,43,29,Sun,
2945,2017,10,44,30,Mon,
2647,2017,10,44,31,Tue,
2882,2017,11,44,1,Wed,
2989,2017,11,44,2,Thu,
2980,2017,11,44,3,Fri,
2352,2017,11,44,4,Sat,
2854,2017,11,44,5,Sun,
2974,2017,11,45,6,Mon,
2806,2017,11,45,7,Tue,
2916,2017,11,45,8,Wed,
3059,2017,11,45,9,Thu,
3059,2017,11,45,10,Fri,Veterans Day (observed)
2316,2017,11,45,11,Sat,Veterans Day
2899,2017,11,45,12,Sun,
3023,2017,11,46,13,Mon,
2857,2017,11,46,14,Tue,
2918,2017,11,46,15,Wed,
3058,2017,11,46,16,Thu,
3060,2017,11,46,17,Fri,
2401,2017,11,46,18,Sat,
2758,2017,11,46,19,Sun,
2723,2017,11,47,20,Mon,
2851,2017,11,47,21,Tue,
2982,2017,11,47,22,Wed,
1829,2017,11,47,23,Thu,Thanksgiving
2182,2017,11,47,24,Fri,
2824,2017,11,47,25,Sat,
3212,2017,11,47,26,Sun,
3092,2017,11,48,27,Mon,
2789,2017,11,48,28,Tue,
2819,2017,11,48,29,Wed,
2971,2017,11,48,30,Thu,
2983,2017,12,48,1,Fri,
2226,2017,12,48,2,Sat,
2797,2017,12,48,3,Sun,
2945,2017,12,49,4,Mon,
2770,2017,12,49,5,Tue,
2836,2017,12,49,6,Wed,
2968,2017,12,49,7,Thu,
2980,2017,12,49,8,Fri,
2228,2017,12,49,9,Sat,
2796,2017,12,49,10,Sun,
2940,2017,12,50,11,Mon,
2769,2017,12,50,12,Tue,
2833,2017,12,50,13,Wed,
2980,2017,12,50,14,Thu,
3020,2017,12,50,15,Fri,
2313,2017,12,50,16,Sat,
2831,2017,12,50,17,Sun,
3013,2017,12,51,18,Mon,
2947,2017,12,51,19,Tue,
2948,2017,12,51,20,Wed,
2917,2017,12,51,21,Thu,
2914,2017,12,51,22,Fri,
2638,2017,12,51,23,Sat,
2334,2017,12,51,24,Sun,
2348,2017,12,52,25,Mon,Christmas Day
2907,2017,12,52,26,Tue,
2897,2017,12,52,27,Wed,
2901,2017,12,52,28,Thu,
2902,2017,12,52,29,Fri,
2633,2017,12,52,30,Sat,
2353,2017,12,52,31,Sun,
2626,2018,1,1,1,Mon,New Year's Day
2888,2018,1,1,2,Tue,
2863,2018,1,1,3,Wed,
2854,2018,1,1,4,Thu,
2855,2018,1,1,5,Fri,
2381,2018,1,1,6,Sat,
2846,2018,1,1,7,Sun,
2844,2018,1,2,8,Mon,
2690,2018,1,2,9,Tue,
2747,2018,1,2,10,Wed,
2841,2018,1,2,11,Thu,
2857,2018,1,2,12,Fri,
2146,2018,1,2,13,Sat,
2507,2018,1,2,14,Sun,
2790,2018,1,3,15,Mon,Martin Luther King Jr. Day
