Date,Airline,Flight Count,Year
2023-06-11,American,7183,2023
2023-06-18,American,7174,2023
2023-06-25,American,7195,2023
2023-07-02,American,7185,2023
2023-07-09,American,7049,2023
2023-07-16,American,7289,2023
2023-07-23,American,7299,2023
2023-07-30,American,7298,2023
2023-08-06,American,7317,2023
2023-08-13,American,7451,2023
2023-08-20,American,7396,2023
2023-08-27,American,7385,2023
2023-09-03,American,6985,2023
2023-09-10,American,6853,2023
2023-09-17,American,6939,2023
2023-09-24,American,6939,2023
2023-10-01,American,6943,2023
2023-10-08,American,6983,2023
2023-10-15,American,7114,2023
2023-10-22,American,7111,2023
2023-10-29,American,6891,2023
2023-11-05,American,6728,2023
2023-11-12,American,6828,2023
2023-11-19,American,6834,2023
2023-11-26,American,6282,2023
2023-12-03,American,6565,2023
2023-12-10,American,6485,2023
2023-12-17,American,6306,2023
2023-12-24,American,6316,2023
2023-12-31,American,6640,2023
2024-01-07,American,6700,2024
2024-01-14,American,6457,2024
2024-01-21,American,6541,2024
2024-01-28,American,6558,2024
2024-02-04,American,6544,2024
2024-02-11,American,6540,2024
2024-02-18,American,6661,2024
2024-02-25,American,6906,2024
2024-03-03,American,6928,2024
2024-03-10,American,6812,2024
2024-03-17,American,6806,2024
2024-03-24,American,6807,2024
2024-03-31,American,6793,2024
2024-04-07,American,6890,2024
2024-04-14,American,7001,2024
2024-04-21,American,6994,2024
2024-04-28,American,7000,2024
2024-05-05,American,6989,2024
2024-05-12,American,7381,2024
2024-05-19,American,7399,2024
2024-05-26,American,7313,2024
2024-06-02,American,7377,2024
2024-06-09,American,7669,2024
2024-06-16,American,7800,2024
2024-06-23,American,7770,2024
2024-06-30,American,7761,2024
2024-07-07,American,7377,2024
2024-07-14,American,7853,2024
2024-07-21,American,7872,2024
2024-07-28,American,7875,2024
2024-08-04,American,3388,2024
2017-01-01,Delta,618,2017
2017-01-08,Delta,5255,2017
2017-01-15,Delta,5511,2017
2017-01-22,Delta,5673,2017
2017-01-29,Delta,5647,2017
2017-02-05,Delta,5486,2017
2017-02-12,Delta,5655,2017
2017-02-19,Delta,5568,2017
2017-02-26,Delta,5837,2017
2017-03-05,Delta,5860,2017
2017-03-12,Delta,6003,2017
2017-03-19,Delta,6024,2017
2017-03-26,Delta,6025,2017
2017-04-02,Delta,6034,2017
2017-04-09,Delta,6182,2017
2017-04-16,Delta,6085,2017
2017-04-23,Delta,6202,2017
2017-04-30,Delta,6199,2017
2017-05-07,Delta,6254,2017
2017-05-14,Delta,6163,2017
2017-05-21,Delta,6274,2017
2017-05-28,Delta,6074,2017
2017-06-04,Delta,6204,2017
2017-06-11,Delta,6278,2017
2017-06-18,Delta,6345,2017
2017-06-25,Delta,6367,2017
2017-07-02,Delta,6198,2017
2017-07-09,Delta,5787,2017
2017-07-16,Delta,6509,2017
2017-07-23,Delta,6513,2017
2017-07-30,Delta,6506,2017
2017-08-06,Delta,6514,2017
2017-08-13,Delta,6501,2017
2017-08-20,Delta,6318,2017
2017-08-27,Delta,6172,2017
2017-09-03,Delta,5811,2017
2017-09-10,Delta,5713,2017
2017-09-17,Delta,6178,2017
