Median Household Income,Per Capita Income,Gini Index of Income Inequality,Total Population,Median Age,Median Home Value,State Code (FIPS),Year,Unemployment Rate,Percent Foreigners,State Name,State Code (USPS)
59673.0,32930.0,0.4743,4019800.0,37.1,191700.0,40,2022,0.01982959351211503,0.06038957162047863,Oklahoma,OK
75657.0,42474.0,0.4679,4240137.0,40.5,475600.0,41,2022,0.02196579968996285,0.0992758017016903,Oregon,OR
71798.0,41489.0,0.4778,12972008.0,40.9,245500.0,42,2022,0.022179758137676142,0.0754064443993559,Pennsylvania,PA
81854.0,44538.0,0.464,1093734.0,40.7,383900.0,44,2022,0.024382528110125496,0.14408805065948393,Rhode Island,RI
64115.0,36675.0,0.4757,5282634.0,40.5,254600.0,45,2022,0.021139454294959673,0.05174975211229852,South Carolina,SC
69728.0,37618.0,0.4487,909824.0,38.5,245000.0,46,2022,0.014628103897017445,0.03479464160101294,South Dakota,SD
65254.0,36704.0,0.4694,7051339.0,39.2,284800.0,47,2022,0.01723403172078381,0.05565652140678529,Tennessee,TN
72284.0,38123.0,0.4796,30029572.0,35.6,275400.0,48,2022,0.02234177696571899,0.17213452126457213,Texas,TX
89168.0,38514.0,0.4264,3380800.0,32.1,499500.0,49,2022,0.014200189304306674,0.08645853052531945,Utah,UT
73991.0,42251.0,0.4452,647064.0,43.2,304700.0,50,2022,0.015474512567535823,0.04242856966235179,Vermont,VT
85873.0,47199.0,0.4755,8683619.0,39.0,365700.0,51,2022,0.018552748571764838,0.1272543164318932,Virginia,VA
91306.0,50764.0,0.4742,7785786.0,38.4,569500.0,53,2022,0.020997109347726743,0.15263609865465091,Washington,WA
54329.0,31922.0,0.4804,1775156.0,42.9,155100.0,54,2022,0.020607766303355875,0.018200653914360203,West Virginia,WV
70996.0,40188.0,0.451,5892539.0,40.4,252800.0,55,2022,0.014672961859056003,0.05001935498432849,Wisconsin,WI
70042.0,38114.0,0.4437,581381.0,39.1,292300.0,56,2022,0.019623964319439403,0.030723398253468894,Wyoming,WY
